word_id,word
492,dotted
493,the
494,garden
495,like
496,tiny
497,stars.
498,When
499,Luna
500,and
501,her
502,friends
503,arrived
504,that
505,"afternoon,"
506,they
507,gasped
508,with
509,wonder.
510,Butterflies
511,danced
512,from
513,flower
514,to
515,flower.
516,Bees
517,hummed
518,happy
519,songs.
520,"""We"
521,did
522,this
523,"together!"""
524,Maya
525,cheered.
526,"""Our"
527,garden
528,is
529,like
530,a
531,"rainbow!"""
532,The
533,colorful
534,garden
535,became
536,a
537,special
538,place
539,for
540,everyone
541,in
542,the
543,neighborhood.
544,Families
545,came
546,to
547,admire
548,the
549,flowers
550,and
551,rest
552,on
553,the
554,soft
555,grass.
556,Luna
557,and
558,her
559,friends
560,felt
561,proud
562,every
563,time
564,someone
565,smiled
566,at
567,their
568,beautiful
569,creation.
570,"""Remember"
571,when
572,this
573,was
574,just
575,weeds
576,and
577,"dirt?"""
578,Sam
579,asked.
580,Luna
581,"nodded,"
582,her
583,heart
584,full
585,of
586,happiness.
587,"""We"
588,learned
589,something
590,"important,"""
591,she
592,said.
593,"""When"
594,friends
595,work
596,together
597,and
598,take
599,care
600,of
601,something
602,with
603,patience
604,and
605,"love,"
606,magical
607,things
608,can
609,"happen."""
610,The
611,garden
612,wasn't
613,just
614,full
615,of
616,beautiful
617,flowers—it
618,was
619,full
620,of
621,"friendship,"
622,"teamwork,"
623,and
624,the
625,wonderful
626,feeling
627,that
628,comes
629,from
630,making
631,the
632,world
633,a
634,little
635,more
636,colorful.
