word_id,html_text,text_only_word,whisperx_word,has_timing
238,"ready,",Luna,,no
239,Luna,carefully,,no
240,carefully,opened,,no
241,opened,several,,no
242,several,packets,,no
243,packets,of,,no
244,of,flower,,no
245,flower,seeds,,no
246,seeds.,These,,no
247,"""These",are,,no
248,are,sunflower,,no
249,sunflower,seeds,,no
250,"seeds,""",she,,no
251,she,explained,,no
252,"explained,",showing,,no
253,showing,the,,no
254,the,small,,no
255,small,seeds,,no
256,seeds,to,,no
257,to,her,,no
258,her,friends,,no
259,friends.,And,,no
260,"""And",these,,no
261,these,will,,no
262,will,grow,,no
263,grow,into,,no
264,into,purple,,no
265,purple,lavender,,no
266,lavender.,These,,no
267,These,pink,,no
268,pink,ones,,no
269,ones,will,,no
270,will,become,,no
271,become,zinnias,,no
272,"zinnias!""",Each,,no
273,Each,friend,,no
274,friend,took,,no
275,took,turns,,no
276,turns,pressing,,no
277,pressing,seeds,,no
278,seeds,into,,no
279,into,the,,no
280,the,soft,,no
281,soft,soil,,no
282,soil.,Luna,,no
283,Luna,taught,,no
284,taught,them,,no
285,them,to,,no
286,to,make,,no
287,make,small,,no
288,small,holes,,no
289,holes,with,,no
290,with,their,,no
291,their,fingers,,no
292,"fingers,",drop,,no
293,drop,in,,no
294,in,a,,no
295,a,seed,,no
296,"seed,",and,,no
297,and,cover,,no
298,cover,it,,no
299,it,gently,,no
300,gently,with,,no
301,with,earth,,no
302,earth.,Gardens,,no
303,"""Gardens",teach,,no
304,teach,us,,no
305,us,to,,no
306,to,be,,no
307,be,patient,,no
308,"patient,""",Luna,,no
309,Luna,said,,no
310,said,wisely,,no
311,wisely.,Seeds,,no
312,"""Seeds",need,,no
313,need,time,,no
314,time,to,,no
315,to,grow,,no
316,"grow,",just,,no
317,just,like,,no
318,like,friendships,,no
319,friendships,need,,no
320,need,time,,no
321,time,to,,no
322,to,grow,,no
323,grow,strong,,no
324,"strong.""",Every,,no
325,Every,day,,no
326,day,after,,no
327,after,that,,no
328,"that,",the,,no
329,the,friends,,no
330,friends,visited,,no
331,visited,their,,no
332,their,garden,,no
333,garden,together,,no
334,together.,They,,no
335,They,brought,,no
336,brought,watering,,no
337,watering,cans,,no
338,cans,filled,,no
339,filled,with,,no
340,with,cool,,no
341,cool,water,,no
342,water,and,,no
343,and,sprinkled,,no
344,sprinkled,the,,no
345,the,thirsty,,no
346,thirsty,soil,,no
347,soil.,Luna,,no
348,Luna,reminded,,no
349,reminded,everyone,,no
350,everyone,that,,no
351,that,plants,,no
352,plants,need,,no
353,need,water,,no
354,"water,",sunshine,,no
355,"sunshine,",and,,no
356,and,love,,no
357,love,to,,no
358,to,grow,,no
359,grow.,We're,,no
360,"""We're",taking,,no
361,taking,care,,no
362,care,of,,no
363,of,something,,no
364,something,together,,no
365,"together,""",she,,no
366,she,told,,no
367,told,her,,no
368,her,friends,,no
369,friends.,That,,no
370,"""That",makes,,no
371,makes,our,,no
372,our,friendship,,no
373,friendship,even,,no
374,even,more,,no
375,more,special,,no
376,"special.""",Weeks,,no
377,Weeks,passed,,no
378,"passed,",and,,no
379,and,Luna,,no
380,Luna,checked,,no
381,checked,the,,no
382,the,garden,,no
383,garden,every,,no
384,every,morning,,no
385,morning,before,,no
386,before,school,,no
387,school.,At,,no
388,At,first,,no
389,"first,",nothing,,no
390,nothing,seemed,,no
391,seemed,to,,no
392,to,happen,,no
393,happen.,But,,no
394,But,Luna,,no
395,Luna,wasn't,,no
396,wasn't,worried,,no
397,worried.,Good,,no
398,"""Good",things,,no
399,things,take,,no
400,take,time,,no
401,"time,""",she,,no
402,she,reminded,,no
403,reminded,herself,,no
404,herself.,Then,,no
405,Then,one,,no
406,one,morning,,no
407,"morning,",she,,no
408,she,saw,,no
409,saw,them,,no
410,them—tiny,tiny,,no
411,green,green,,no
412,sprouts,sprouts,,no
413,pushing,pushing,,no
414,up,up,,no
415,through,through,,no
416,the,the,,no
417,soil!,soil,,no
418,Luna,Luna,,no
419,felt,felt,,no
420,so,so,,no
421,happy,happy,,no
422,she,she,,no
423,could,could,,no
424,hardly,hardly,,no
425,stand,stand,,no
426,still.,still,,no
427,She,She,,no
428,touched,touched,,no
429,the,the,,no
430,little,little,,no
431,sprouts,sprouts,,no
432,gently,gently,,no
433,with,with,,no
434,one,one,,no
435,finger.,finger,,no
436,"""Hello,",Hello,,no
437,little,little,,no
438,"plants,""",plants,,no
439,she,she,,no
440,whispered.,whispered,,no
441,"""Keep",Keep,,no
442,growing,growing,,no
443,"strong.""",strong,,no
444,More,More,,no
445,weeks,weeks,,no
446,went,went,,no
447,"by,",by,,no
448,and,and,,no
449,something,something,,no
450,magical,magical,,no
451,happened.,happened,,no
452,The,The,,no
453,garden,garden,,no
454,exploded,exploded,,no
455,with,with,,no
456,color!,color,,no
457,Bright,Bright,,no
458,yellow,yellow,,no
459,sunflowers,sunflowers,,no
460,stretched,stretched,,no
461,tall,tall,,no
462,toward,toward,,no
463,the,the,,no
464,sky.,sky,,no
465,Purple,Purple,,no
466,lavender,lavender,,no
467,swayed,swayed,,no
468,in,in,,no
469,the,the,,no
470,"breeze,",breeze,,no
471,filling,filling,,no
472,the,the,,no
473,air,air,,no
474,with,with,,no
475,sweet,sweet,,no
476,scent.,scent,,no
477,Pink,Pink,,no
478,and,and,,no
479,red,red,,no
480,zinnias,zinnias,,no
481,opened,opened,,no
482,their,their,,no
483,petals,petals,,no
484,wide.,wide,,no
485,Orange,Orange,,no
486,marigolds,marigolds,,no
487,glowed,glowed,,no
488,like,like,,no
489,little,little,,no
490,suns.,suns,,no
491,Blue,Blue,,no
492,forget-me-nots,forget-me-nots,,no
493,dotted,dotted,,no
494,the,the,,no
495,garden,garden,,no
496,like,like,,no
497,tiny,tiny,,no
498,stars.,stars,,no
499,When,When,,no
500,Luna,Luna,,no
501,and,and,,no
502,her,her,,no
503,friends,friends,,no
504,arrived,arrived,,no
505,that,that,,no
506,"afternoon,",afternoon,,no
507,they,they,,no
508,gasped,gasped,,no
509,with,with,,no
510,wonder.,wonder,,no
511,Butterflies,Butterflies,,no
512,danced,danced,,no
513,from,from,,no
514,flower,flower,,no
515,to,to,,no
516,flower.,flower,,no
517,Bees,Bees,,no
518,hummed,hummed,,no
519,happy,happy,,no
520,songs.,songs,,no
521,"""We",We,,no
522,did,did,,no
523,this,this,,no
524,"together!""",together,,no
525,Maya,Maya,,no
526,cheered.,cheered,,no
527,"""Our",Our,,no
528,garden,garden,,no
529,is,is,,no
530,like,like,,no
531,a,a,,no
532,"rainbow!""",rainbow,,no
533,The,The,,no
534,colorful,colorful,,no
535,garden,garden,,no
536,became,became,,no
537,a,a,,no
538,special,special,,no
539,place,place,,no
540,for,for,,no
541,everyone,everyone,,no
542,in,in,,no
543,the,the,,no
544,neighborhood.,neighborhood,,no
545,Families,Families,,no
546,came,came,,no
547,to,to,,no
548,admire,admire,,no
549,the,the,,no
550,flowers,flowers,,no
551,and,and,,no
552,rest,rest,,no
553,on,on,,no
554,the,the,,no
555,soft,soft,,no
556,grass.,grass,,no
557,Luna,Luna,,no
558,and,and,,no
559,her,her,,no
560,friends,friends,,no
561,felt,felt,,no
562,proud,proud,,no
563,every,every,,no
564,time,time,,no
565,someone,someone,,no
566,smiled,smiled,,no
567,at,at,,no
568,their,their,,no
569,beautiful,beautiful,,no
570,creation.,creation,,no
571,"""Remember",Remember,,no
572,when,when,,no
573,this,this,,no
574,was,was,,no
575,just,just,,no
576,weeds,weeds,,no
577,and,and,,no
578,"dirt?""",dirt,,no
579,Sam,Sam,,no
580,asked.,asked,,no
581,Luna,Luna,,no
582,"nodded,",nodded,,no
583,her,her,,no
584,heart,heart,,no
585,full,full,,no
586,of,of,,no
587,happiness.,happiness,,no
588,"""We",We,,no
589,learned,learned,,no
590,something,something,,no
591,"important,""",important,,no
592,she,she,,no
593,said.,said,,no
594,"""When",When,,no
595,friends,friends,,no
596,work,work,,no
597,together,together,,no
598,and,and,,no
599,take,take,,no
600,care,care,,no
601,of,of,,no
602,something,something,,no
603,with,with,,no
604,patience,patience,,no
605,and,and,,no
606,"love,",love,,no
607,magical,magical,,no
608,things,things,,no
609,can,can,,no
610,"happen.""",happen,,no
611,The,The,,no
612,garden,garden,,no
613,wasn't,wasn't,,no
614,just,just,,no
615,full,full,,no
616,of,of,,no
617,beautiful,beautiful,,no
618,flowers—it,flowers,,no
619,was,it,,no
620,full,was,,no
621,of,full,,no
622,"friendship,",of,,no
623,"teamwork,",friendship,,no
624,and,teamwork,,no
625,the,and,,no
626,wonderful,the,,no
627,feeling,wonderful,,no
628,that,feeling,,no
629,comes,that,,no
630,from,comes,,no
631,making,from,,no
632,the,making,,no
633,world,the,,no
634,a,world,,no
635,little,a,,no
636,more,little,,no
637,colorful.,more,,no
638,⋮,colorful,,no
